rumor_title,rumor_keywords,rumor_quote,rumor_url,rumor_sourceText,split_keywords
近日扫码可领“2024年个人劳动补贴”？,,人力资源和社会保障部,,中国互联网联合辟谣平台,['']
山西发“辱华”言论男子入职国税系统？,,山西互联网联合辟谣平台,,中国互联网联合辟谣平台,['']
台湾地震把福州乌塔震歪了？,,福建辟谣,,中国互联网联合辟谣平台,['']
旅美大熊猫“洋洋”口吐白沫、饿得啃墙皮？,,成都网络辟谣,,中国互联网联合辟谣平台,['']
近日济南一门店坍塌，救护车拉了七八车？,,济南互联网联合辟谣平台,,中国互联网联合辟谣平台,['']
“藏水入疆”工程将于9月正式开工？,,新疆互联网联合辟谣平台,,中国互联网联合辟谣平台,['']
近日广州珠江新城东塔着火？,,广东网络辟谣平台,,中国互联网联合辟谣平台,['']
西安高陵区有“病毒基地”？,,陕西省互联网联合辟谣平台,,中国互联网联合辟谣平台,['']
河南小麦单产破2500公斤？,,河南省网络辟谣平台,,中国互联网联合辟谣平台,['']
因高铁站通车，重庆到黔江火车票全免？,,重庆市互联网举报中心,,中国互联网联合辟谣平台,['']
近日深圳龙华某地铁站特大交通事故？,,广东网络辟谣平台,,中国互联网联合辟谣平台,['']
近日清远英德洪水致码头崩堤？,"点击,真相",广东网络辟谣平台,,中国互联网联合辟谣平台,"['点击', '真相']"
“体考神器”喝一口就能及格？,"点击,真相",公众举报,,中国互联网联合辟谣平台,"['点击', '真相']"
西安网约车被路政追赶致2死1伤？,"点击,真相",陕西省互联网联合辟谣平台,,中国互联网联合辟谣平台,"['点击', '真相']"
收割未成熟小麦作青贮饲料，一亩地收入可达到1500元？,"点击,真相",公众举报,,中国互联网联合辟谣平台,"['点击', '真相']"
三星堆是外星文明？,"点击,真相",公众举报,,中国互联网联合辟谣平台,"['点击', '真相']"
三星堆文明是“西来”的？,,公众举报,,中国互联网联合辟谣平台,['']
三星堆考古挖出多件具“科技感”的青铜器？,,公众举报,,中国互联网联合辟谣平台,['']
三星堆是断层文明？,,公众举报,,,['']
三星堆挖出酷似“飞碟”青铜器？,,四川互联网联合辟谣平台,,中国互联网联合辟谣平台,['']
天津市急救中心近期在招聘司机？,,天津市互联网联合辟谣平台,,中国互联网联合辟谣平台,['']
福州仓山发生重大航空器安全事故？,,福建辟谣,,中国互联网联合辟谣平台,['']
近期广西南宁白沙大道一大楼倒塌？,,广西互联网辟谣平台,,中国互联网联合辟谣平台,['']
近日新疆克拉玛依有风力机着火损失千万？,,新疆互联网联合辟谣平台,,中国互联网联合辟谣平台,['']
四姑娘山景区4月底解封户外运动？,,四川互联网联合辟谣平台,,中国互联网联合辟谣平台,['']
近期江西黎川境内高速路段发生18车连撞重大交通事故？,"点击,真相",江西省互联网违法和不良信息举报中心,,中国互联网联合辟谣平台,"['点击', '真相']"
4月9日云南香格里拉市发生的4.7级地震，有数百人受伤？,"点击,真相",云南省互联网违法和不良信息举报中心,,中国互联网联合辟谣平台,"['点击', '真相']"
重庆永川有KK（电信诈骗）园区？,"点击,真相",重庆市互联网举报中心,,中国互联网联合辟谣平台,"['点击', '真相']"
单次住院不能超过15天，否则医保无法报销？,"点击,真相",公众举报,,中国互联网联合辟谣平台,"['点击', '真相']"
食用蜂蜜或花粉能“以毒攻毒”防过敏？,"点击,真相",公众举报,,中国互联网联合辟谣平台,"['点击', '真相']"
近期北京某高校着火？,"点击,真相",北京市违法和不良信息举报平台,,中国互联网联合辟谣平台,"['点击', '真相']"
